iter	Passed	Remaining
183	1202	5334
184	1205	5309
185	1207	5284
186	1210	5263
187	1213	5239
188	1215	5215
189	1217	5191
190	1220	5167
191	1222	5144
192	1225	5124
193	1227	5101
194	1230	5078
195	1232	5056
196	1234	5033
197	1237	5011
198	1241	4997
199	1244	4978
200	1247	4957
201	1249	4935
202	1251	4914
203	1254	4893
204	1256	4873
205	1258	4852
206	1261	4832
207	1263	4811
208	1266	4791
209	1269	4774
210	1272	4758
211	1274	4738
212	1277	4719
213	1279	4699
214	1282	4682
215	1285	4666
216	1288	4647
217	1290	4628
218	1292	4610
219	1295	4591
220	1297	4573
221	1300	4557
222	1302	4539
223	1305	4521
224	1307	4503
225	1309	4485
226	1312	4468
227	1314	4452
228	1317	4434
229	1319	4417
230	1321	4400
231	1324	4384
232	1326	4367
233	1329	4351
234	1331	4334
235	1333	4318
236	1336	4301
237	1340	4290
238	1342	4274
239	1345	4262
240	1348	4245
241	1350	4230
242	1353	4215
243	1355	4199
244	1358	4185
245	1360	4170
246	1362	4154
247	1365	4139
248	1367	4124
249	1369	4109
250	1372	4095
251	1374	4080
252	1377	4066
253	1380	4054
254	1382	4040
255	1385	4025
256	1388	4013
257	1391	4000
258	1393	3986
259	1395	3972
260	1398	3958
261	1400	3944
262	1403	3933
263	1405	3919
264	1408	3905
265	1410	3892
266	1412	3879
267	1415	3865
268	1418	3854
269	1420	3840
270	1424	3831
271	1426	3818
272	1428	3805
273	1431	3792
274	1434	3782
275	1437	3769
276	1439	3757
277	1441	3744
278	1444	3732
279	1446	3720
280	1449	3709
281	1452	3697
282	1454	3684
283	1456	3672
284	1459	3661
285	1462	3651
286	1466	3642
287	1468	3630
288	1470	3618
289	1473	3606
290	1475	3596
291	1479	3586
292	1481	3574
293	1483	3563
294	1486	3551
295	1488	3540
296	1491	3530
297	1493	3519
298	1496	3508
299	1498	3496
300	1500	3485
301	1503	3474
302	1507	3467
303	1510	3458
304	1513	3447
305	1515	3436
306	1517	3426
307	1521	3417
308	1523	3406
309	1525	3395
310	1528	3385
311	1530	3374
312	1533	3365
313	1538	3360
314	1540	3349
315	1542	3339
316	1545	3329
317	1547	3319
318	1551	3311
319	1553	3301
320	1556	3291
321	1558	3281
322	1560	3271
323	1563	3262
324	1566	3253
325	1568	3243
326	1571	3233
327	1573	3223
328	1575	3213
329	1578	3204
330	1581	3195
331	1583	3186
332	1585	3176
333	1588	3166
334	1590	3157
335	1592	3147
336	1595	3139
337	1598	3130
338	1600	3121
339	1603	3111
340	1606	3104
341	1608	3095
342	1613	3090
343	1615	3080
344	1618	3072
345	1620	3063
346	1623	3054
347	1625	3046
348	1628	3037
349	1630	3028
350	1633	3019
351	1635	3010
352	1637	3001
353	1640	2994
354	1643	2985
355	1646	2977
356	1649	2970
357	1651	2961
358	1653	2953
359	1657	2946
360	1659	2937
361	1662	2929
362	1664	2920
363	1666	2912
364	1669	2904
365	1672	2896
366	1674	2888
367	1676	2879
368	1679	2871
369	1681	2863
370	1684	2856
371	1687	2849
372	1690	2841
373	1692	2833
374	1695	2825
375	1697	2817
376	1701	2811
377	1703	2803
378	1706	2795
379	1708	2787
380	1710	2779
381	1713	2771
382	1716	2765
383	1719	2757
384	1721	2749
385	1723	2742
386	1729	2740
387	1734	2735
388	1740	2733
389	1744	2728
390	1747	2721
391	1749	2713
392	1752	2706
393	1754	2698
394	1756	2690
395	1760	2684
396	1762	2676
397	1764	2669
398	1766	2661
399	1769	2653
400	1771	2646
401	1775	2641
402	1778	2635
403	1781	2627
404	1783	2620
405	1786	2613
406	1788	2605
407	1791	2598
408	1793	2591
409	1795	2584
410	1798	2576
411	1800	2569
412	1803	2563
413	1806	2557
414	1809	2550
415	1811	2543
416	1813	2536
417	1817	2530
418	1820	2524
419	1822	2517
420	1825	2510
421	1827	2502
422	1829	2495
423	1832	2489
424	1835	2483
425	1837	2476
426	1840	2469
427	1842	2462
428	1844	2455
429	1847	2448
430	1850	2442
431	1852	2435
432	1854	2428
433	1857	2422
434	1859	2415
435	1861	2408
436	1864	2402
437	1867	2395
438	1869	2389
439	1872	2382
440	1875	2377
441	1878	2371
442	1881	2365
443	1883	2359
444	1886	2352
445	1888	2345
446	1890	2339
447	1893	2333
448	1896	2326
449	1898	2320
450	1900	2313
451	1903	2307
452	1905	2300
453	1908	2295
454	1910	2288
455	1912	2282
456	1916	2277
457	1918	2270
458	1921	2264
459	1924	2258
460	1926	2252
461	1929	2246
462	1931	2240
463	1934	2234
464	1936	2227
465	1939	2222
466	1941	2216
467	1944	2210
468	1946	2204
469	1948	2197
470	1951	2191
471	1954	2185
472	1956	2179
473	1960	2175
474	1962	2168
475	1964	2162
476	1967	2156
477	1970	2151
478	1972	2145
479	1974	2139
480	1977	2133
481	1979	2127
482	1982	2121
483	1985	2116
484	1987	2110
485	1989	2104
486	1992	2098
487	1994	2092
488	1996	2086
489	2001	2083
490	2003	2077
491	2006	2071
492	2008	2065
493	2010	2059
494	2013	2054
495	2015	2048
496	2018	2042
497	2020	2036
498	2022	2030
499	2025	2025
500	2028	2020
501	2031	2014
502	2033	2009
503	2035	2003
504	2038	1997
505	2042	1993
506	2045	1989
507	2048	1983
508	2050	1977
509	2052	1972
510	2055	1966
511	2058	1961
512	2060	1956
513	2063	1950
514	2065	1945
515	2068	1939
516	2070	1934
517	2073	1929
518	2076	1924
519	2078	1918
520	2080	1913
521	2084	1908
522	2087	1903
523	2089	1898
524	2092	1892
525	2094	1887
526	2097	1882
527	2099	1877
528	2102	1872
529	2105	1866
530	2107	1861
531	2109	1855
532	2112	1850
533	2114	1845
534	2117	1840
535	2119	1835
536	2122	1829
537	2124	1824
538	2126	1819
539	2129	1813
540	2132	1808
541	2134	1803
542	2136	1798
543	2140	1794
544	2142	1788
545	2145	1783
546	2148	1779
547	2151	1774
548	2153	1769
549	2156	1764
550	2158	1758
551	2161	1754
552	2163	1748
553	2166	1743
554	2168	1738
555	2170	1733
556	2173	1728
557	2176	1723
558	2178	1718
559	2180	1713
560	2184	1709
561	2186	1704
562	2188	1699
563	2192	1695
564	2195	1690
565	2197	1684
566	2199	1679
567	2202	1675
568	2204	1669
569	2207	1665
570	2209	1660
571	2211	1655
572	2214	1650
573	2216	1645
574	2218	1640
575	2221	1635
576	2224	1630
577	2227	1626
578	2230	1621
579	2232	1616
580	2235	1611
581	2238	1607
582	2240	1602
583	2242	1597
584	2245	1592
585	2247	1587
586	2250	1583
587	2253	1578
588	2255	1574
589	2258	1569
590	2260	1564
591	2262	1559
592	2265	1555
593	2270	1551
594	2272	1546
595	2274	1542
596	2277	1537
597	2280	1532
598	2282	1527
599	2284	1523
600	2287	1518
601	2289	1513
602	2291	1508
603	2294	1504
604	2296	1499
605	2299	1494
606	2301	1490
607	2303	1485
608	2306	1480
609	2309	1476
610	2313	1472
611	2315	1468
612	2318	1463
613	2320	1458
614	2322	1454
615	2325	1449
616	2328	1445
617	2330	1440
618	2333	1436
619	2335	1431
620	2338	1426
621	2341	1423
622	2344	1418
623	2346	1413
624	2348	1409
625	2352	1405
626	2355	1401
627	2357	1396
628	2359	1391
629	2362	1387
630	2364	1382
631	2366	1378
632	2369	1373
633	2372	1369
634	2375	1365
635	2377	1360
636	2380	1356
637	2382	1352
638	2385	1347
639	2388	1343
640	2390	1338
641	2392	1334
642	2395	1330
643	2398	1325
644	2401	1321
645	2403	1317
646	2405	1312
647	2409	1308
648	2411	1304
649	2414	1300
650	2417	1296
651	2419	1291
652	2422	1287
653	2424	1282
654	2427	1278
655	2430	1274
656	2432	1269
657	2434	1265
658	2438	1261
659	2441	1257
660	2446	1254
661	2449	1250
662	2453	1246
663	2455	1242
664	2457	1238
665	2463	1235
666	2466	1231
667	2468	1227
668	2471	1222
669	2473	1218
670	2477	1214
671	2480	1210
672	2482	1206
673	2485	1201
674	2487	1197
675	2491	1194
676	2493	1189
677	2497	1186
678	2499	1181
679	2502	1177
680	2504	1173
681	2507	1169
682	2510	1165
683	2512	1160
684	2514	1156
685	2517	1152
686	2519	1148
687	2522	1144
688	2525	1139
689	2527	1135
690	2529	1131
691	2532	1126
692	2535	1123
693	2539	1119
694	2541	1115
695	2544	1111
696	2546	1107
697	2548	1102
698	2551	1098
699	2553	1094
700	2556	1090
701	2558	1086
702	2560	1081
703	2563	1077
704	2566	1073
705	2567	1069
706	2569	1065
707	2572	1060
708	2574	1056
709	2576	1052
710	2580	1049
711	2584	1045
712	2586	1041
713	2588	1036
714	2591	1032
715	2593	1028
716	2596	1024
717	2598	1020
718	2601	1016
719	2603	1012
720	2605	1008
721	2609	1004
722	2612	1000
723	2614	996
724	2617	992
725	2619	988
726	2622	984
727	2625	981
728	2628	976
729	2630	972
730	2632	968
731	2635	964
732	2638	961
733	2645	958
734	2650	955
735	2657	953
736	2664	950
737	2668	947
738	2672	943
739	2675	940
740	2677	935
741	2681	932
742	2684	928
743	2686	924
744	2688	920
745	2691	916
746	2693	912
747	2696	908
748	2698	904
749	2700	900
750	2703	896
751	2705	892
752	2707	888
753	2710	884
754	2713	880
755	2716	876
756	2718	872
757	2721	868
758	2723	864
759	2727	861
760	2730	857
761	2732	853
762	2735	849
763	2737	845
764	2740	841
765	2742	837
766	2745	833
767	2747	829
768	2749	826
769	2752	822
770	2755	818
771	2758	814
772	2761	810
773	2763	806
774	2765	802
775	2767	799
776	2771	795
777	2774	791
778	2776	787
779	2778	783
780	2781	779
781	2783	776
782	2786	772
783	2788	768
784	2791	764
785	2793	760
786	2795	756
787	2798	752
788	2802	749
789	2805	745
790	2807	741
791	2809	737
792	2812	734
793	2815	730
794	2817	726
795	2819	722
796	2822	718
797	2824	714
798	2826	711
799	2829	707
800	2832	703
801	2834	699
802	2836	695
803	2839	692
804	2842	688
805	2846	685
806	2848	681
807	2851	677
808	2853	673
809	2855	669
810	2858	666
811	2860	662
812	2863	658
813	2865	654
814	2867	650
815	2870	647
816	2873	643
817	2875	639
818	2878	636
819	2880	632
820	2882	628
821	2885	624
822	2887	621
823	2890	617
824	2892	613
825	2894	609
826	2897	606
827	2900	602
828	2903	598
829	2906	595
830	2908	591
831	2911	587
832	2913	584
833	2915	580
834	2918	576
835	2920	573
836	2923	569
837	2925	565
838	2927	561
839	2930	558
840	2932	554
841	2935	550
842	2937	547
843	2944	544
844	2948	540
845	2951	537
846	2954	533
847	2956	529
848	2958	526
849	2961	522
850	2965	519
851	2967	515
852	2969	511
853	2972	508
854	2974	504
855	2976	500
856	2980	497
857	2982	493
858	2985	490
859	2988	486
860	2990	482
861	2992	479
862	2996	475
863	2998	472
864	3000	468
865	3003	464
866	3005	461
867	3008	457
868	3010	453
869	3012	450
870	3015	446
871	3017	442
872	3019	439
873	3022	435
874	3024	432
875	3028	428
876	3031	425
877	3033	421
878	3035	417
879	3038	414
880	3041	410
881	3043	407
882	3046	403
883	3048	400
884	3050	396
885	3054	392
886	3057	389
887	3059	385
888	3061	382
889	3064	378
890	3067	375
891	3070	371
892	3072	368
893	3075	364
894	3077	361
895	3080	357
896	3082	353
897	3085	350
898	3087	346
899	3089	343
900	3091	339
901	3094	336
902	3097	332
903	3099	329
904	3101	325
905	3104	322
906	3106	318
907	3110	315
908	3113	311
909	3116	308
910	3118	304
911	3120	301
912	3122	297
913	3125	294
914	3128	290
915	3130	287
916	3132	283
917	3135	280
918	3137	276
919	3141	273
920	3143	269
921	3146	266
922	3148	262
923	3151	259
924	3154	255
925	3157	252
926	3159	248
927	3161	245
928	3164	241
929	3166	238
930	3169	234
931	3171	231
932	3174	227
933	3176	224
934	3178	220
935	3180	217
936	3182	213
937	3185	210
938	3188	207
939	3190	203
940	3192	200
941	3194	196
942	3197	193
943	3200	189
944	3202	186
945	3204	182
946	3207	179
947	3210	176
948	3213	172
949	3216	169
950	3219	165
951	3221	162
952	3224	159
953	3226	155
954	3228	152
955	3231	148
956	3233	145
957	3235	141
958	3238	138
959	3240	135
960	3242	131
961	3245	128
962	3247	124
963	3250	121
964	3253	118
965	3256	114
966	3258	111
967	3263	107
968	3265	104
969	3268	101
970	3270	97
971	3273	94
972	3275	90
973	3278	87
974	3281	84
975	3283	80
976	3286	77
977	3289	74
978	3292	70
979	3294	67
980	3297	63
981	3299	60
982	3301	57
983	3304	53
984	3307	50
985	3309	46
986	3312	43
987	3314	40
988	3316	36
989	3320	33
990	3323	30
991	3325	26
992	3327	23
993	3330	20
994	3332	16
995	3335	13
996	3338	10
997	3341	6
998	3343	3
999	3345	0
